feature,group,success_n,control_n,success_median,success_p25,success_p75,control_median,control_p25,control_p75,median_diff,rank_biserial,boot_ci_lo,boot_ci_hi
close_vs_ma10_pct,FAILED_BREAKOUT,409,950,5.3022,2.4531,8.6957,5.9456,3.0639,8.8229,-0.6434,0.0611,-1.2849,-0.031
close_vs_ma10_pct,NO_LAUNCH,409,1730,5.3022,2.4531,8.6957,4.7301,1.2924,7.2908,0.5721,-0.1183,0.0628,1.1705
close_vs_ma10_pct,STRUCTURE_FAIL,409,5415,5.3022,2.4531,8.6957,5.3362,2.1052,8.526,-0.034,-0.0082,-0.6361,0.5013
close_vs_ma10_pct,ALL_CONTROL,409,8095,5.3022,2.4531,8.6957,5.2575,2.0675,8.34,0.0447,-0.0236,-0.4822,0.531
close_vs_ma20_pct,FAILED_BREAKOUT,409,950,6.4367,2.0455,11.2835,6.819,2.9332,11.1143,-0.3822,0.0348,-1.1202,0.3759
close_vs_ma20_pct,NO_LAUNCH,409,1730,6.4367,2.0455,11.2835,5.6378,1.3845,9.3898,0.7989,-0.1108,0.2097,1.6077
close_vs_ma20_pct,STRUCTURE_FAIL,409,5415,6.4367,2.0455,11.2835,6.539,2.2456,10.8103,-0.1023,-0.0075,-0.6268,0.6567
close_vs_ma20_pct,ALL_CONTROL,409,8095,6.4367,2.0455,11.2835,6.3679,2.2076,10.5042,0.0688,-0.0246,-0.4854,0.6994
close_vs_ma30_pct,FAILED_BREAKOUT,409,950,6.8303,1.8797,12.8823,7.4151,2.7196,12.9358,-0.5848,0.045,-1.3676,0.6181
close_vs_ma30_pct,NO_LAUNCH,409,1730,6.8303,1.8797,12.8823,6.0755,0.1516,10.5825,0.7548,-0.0909,-0.0126,1.8155
close_vs_ma30_pct,STRUCTURE_FAIL,409,5415,6.8303,1.8797,12.8823,7.0932,1.7358,12.7774,-0.2629,0.0161,-1.0108,0.7218
close_vs_ma30_pct,ALL_CONTROL,409,8095,6.8303,1.8797,12.8823,6.9242,1.6407,12.2719,-0.0939,-0.0034,-1.0314,0.8099
close_vs_ma60_pct,FAILED_BREAKOUT,409,950,7.0045,0.53,14.357,8.2562,1.7791,18.3297,-1.2517,0.0883,-3.1988,0.425
close_vs_ma60_pct,NO_LAUNCH,409,1730,7.0045,0.53,14.357,6.203,0.1852,12.8398,0.8015,-0.0552,-0.7921,2.3218
close_vs_ma60_pct,STRUCTURE_FAIL,409,5415,7.0045,0.53,14.357,8.2649,1.028,17.7962,-1.2604,0.0623,-2.8238,0.3307
close_vs_ma60_pct,ALL_CONTROL,409,8095,7.0045,0.53,14.357,7.7527,0.9415,16.8253,-0.7482,0.0402,-2.4879,0.794
ma5_slope_pct,FAILED_BREAKOUT,409,950,1.4545,0.6405,2.399,1.5894,0.686,2.3406,-0.1349,0.0231,-0.2687,0.0262
ma5_slope_pct,NO_LAUNCH,409,1730,1.4545,0.6405,2.399,1.3192,0.4043,2.0302,0.1353,-0.1125,0.0167,0.2628
