feature,CHECKPOINT,group,rank_biserial,boot_ci_lo,boot_ci_hi,median_diff
session_range_pct,1000,STRUCTURE_FAIL,0.4382,-2.0212,-0.4864,-1.1413
close_location_so_far,1000,FAILED_BREAKOUT,0.0719,-0.1513,0.1063,-0.0175
close_location_so_far,1000,STRUCTURE_FAIL,-0.0377,-0.1491,0.1943,0.0185
high_from_open_pct,1000,FAILED_BREAKOUT,-0.0441,-0.4361,1.2983,0.1129
high_from_open_pct,1000,STRUCTURE_FAIL,0.1912,-1.675,-0.1364,-1.1829
low_from_open_pct,1000,FAILED_BREAKOUT,-0.1505,-0.1917,0.8806,0.2709
low_from_open_pct,1000,STRUCTURE_FAIL,-0.1029,-0.4335,0.6484,0.0156
lower_shadow_proxy_so_far_pct,1000,FAILED_BREAKOUT,-0.0028,-0.3484,0.6633,0.2059
lower_shadow_proxy_so_far_pct,1000,STRUCTURE_FAIL,-0.0525,-0.2471,0.7782,0.3578
upper_shadow_proxy_so_far_pct,1000,FAILED_BREAKOUT,-0.1704,-0.2567,0.9844,0.4796
upper_shadow_proxy_so_far_pct,1000,STRUCTURE_FAIL,0.0642,-1.1128,0.7748,0.266
checkpoint_close,1000,FAILED_BREAKOUT,0.2802,-10.0736,-0.5769,-5.475
checkpoint_close,1000,STRUCTURE_FAIL,0.0735,-5.4511,4.5901,-0.755
session_low_price,1000,FAILED_BREAKOUT,0.2747,-9.8235,-0.3443,-5.21
session_low_price,1000,STRUCTURE_FAIL,0.0652,-5.3608,4.58,-0.31
session_high_price,1000,FAILED_BREAKOUT,0.2809,-10.5005,-0.6048,-5.665
session_high_price,1000,STRUCTURE_FAIL,0.0789,-5.6571,4.7244,-0.465
vwap_price,1000,FAILED_BREAKOUT,0.2799,-10.0829,-0.5073,-5.5426
vwap_price,1000,STRUCTURE_FAIL,0.0706,-5.5123,4.6348,-0.3837
s1,1030,FAILED_BREAKOUT,0.2789,-11.062,-0.7311,-5.77
s1,1030,STRUCTURE_FAIL,0.0941,-6.0909,5.175,-0.52
invalid,1030,FAILED_BREAKOUT,0.282,-9.8599,-0.6459,-5.31
invalid,1030,STRUCTURE_FAIL,0.0672,-5.34,4.891,-0.09
D1_close,1030,FAILED_BREAKOUT,0.283,-9.8569,-0.4948,-4.83
D1_close,1030,STRUCTURE_FAIL,0.0721,-5.5991,4.55,-0.34
D1_volume,1030,FAILED_BREAKOUT,-0.2211,-3454678.55,38190319.5,10792861.0
D1_volume,1030,STRUCTURE_FAIL,-0.2569,-3970581.0,37121887.6625,13925971.0
D1_upper_shadow_pct,1030,FAILED_BREAKOUT,-0.3211,0.0,2.0661,1.6802
D1_upper_shadow_pct,1030,STRUCTURE_FAIL,-0.3113,0.0,2.0903,1.6802
D1_close_location,1030,FAILED_BREAKOUT,0.332,-0.8955,0.0,-0.778
D1_close_location,1030,STRUCTURE_FAIL,0.2162,-0.8955,0.0,-0.778
dist_D1_close_to_s1_pct,1030,FAILED_BREAKOUT,0.1113,-2.098,1.2709,-0.6515
dist_D1_close_to_s1_pct,1030,STRUCTURE_FAIL,-0.2147,-0.3001,3.7519,1.7283
dist_D1_close_to_support_pct,1030,FAILED_BREAKOUT,0.0191,-1.0612,2.1712,0.4696
dist_D1_close_to_support_pct,1030,STRUCTURE_FAIL,0.0265,-2.1346,2.0619,-0.1134
dist_D1_close_to_invalid_pct,1030,FAILED_BREAKOUT,-0.0119,-1.4637,2.5018,0.9613
dist_D1_close_to_invalid_pct,1030,STRUCTURE_FAIL,0.0098,-2.0201,2.2019,-0.2458
pullback_volume_dry_up_pre_D0,1030,FAILED_BREAKOUT,0.0949,-0.2766,0.1581,-0.0514
pullback_volume_dry_up_pre_D0,1030,STRUCTURE_FAIL,-0.084,-0.1624,0.3217,0.1349
probe_count_pre_D0,1030,FAILED_BREAKOUT,-0.108,0.0,0.5,0.0
probe_count_pre_D0,1030,STRUCTURE_FAIL,-0.0608,0.0,0.5,0.0
closest_high_to_s1_pre_D0_pct,1030,FAILED_BREAKOUT,0.2183,-5.2386,2.0274,-2.2685
closest_high_to_s1_pre_D0_pct,1030,STRUCTURE_FAIL,0.008,-4.2453,4.6295,-0.1115
pre_D0_min_low,1030,FAILED_BREAKOUT,0.2983,-26.27,2.2215,-6.44
pre_D0_min_low,1030,STRUCTURE_FAIL,0.072,-6.731,7.0,0.645
d0_open,1030,FAILED_BREAKOUT,0.2799,-10.1028,-0.599,-4.89
d0_open,1030,STRUCTURE_FAIL,0.0706,-5.6779,4.53,-0.12
prev_close,1030,FAILED_BREAKOUT,0.283,-9.8569,-0.4948,-4.83
prev_close,1030,STRUCTURE_FAIL,0.0721,-5.5991,4.55,-0.34
anchor_volume,1030,FAILED_BREAKOUT,-0.2124,-783196.0,29472921.8,10431811.0
anchor_volume,1030,STRUCTURE_FAIL,-0.2196,-6820401.675,29799121.975,10549477.0
price_to_s1_pct,1030,FAILED_BREAKOUT,0.0897,-2.0957,0.8675,-0.6553
price_to_s1_pct,1030,STRUCTURE_FAIL,-0.3069,-0.0681,3.8858,1.639
session_high_to_s1_pct,1030,FAILED_BREAKOUT,0.1139,-1.984,0.9611,-0.3143
session_high_to_s1_pct,1030,STRUCTURE_FAIL,-0.1,-1.5398,2.3781,0.5584
best_distance_to_s1_so_far_pct,1030,FAILED_BREAKOUT,0.0384,-1.8016,1.7342,0.5621
best_distance_to_s1_so_far_pct,1030,STRUCTURE_FAIL,-0.3245,0.0251,4.9198,2.4463
s1_cross_count_so_far,1030,FAILED_BREAKOUT,0.0,0.0,0.0,0.0
s1_cross_count_so_far,1030,STRUCTURE_FAIL,0.0,0.0,0.0,0.0
s1_reject_count_so_far,1030,FAILED_BREAKOUT,0.0,0.0,0.0,0.0
