feature,group,episode_id,symbol,name,candidate_date,anchor_date,outcome,CHECKPOINT,support,s1,invalid,checkpoint_price,session_low,session_high,vwap,feature_value
session_range_pct,NO_LAUNCH,002910:20260708:1287,002910,,2026-07-28,2026-07-08,NO_LAUNCH,1130,7.793151515151515151515151516,9.7,7.75,8.2,8.0,8.29,8.20724686983526,3.6205
session_range_pct,NO_LAUNCH,605111:20260630:9914,605111,新洁能,2026-07-03,2026-06-30,NO_LAUNCH,1130,73.97428513657866625972836878,91.44,73.6,83.65,80.35,84.77,82.43765444061755,5.3189
session_range_pct,NO_LAUNCH,603477:20260706:1673,603477,,2026-07-08,2026-07-06,NO_LAUNCH,1130,14.45397734627831715210355987,17.43,14.28,15.85,15.83,16.79,16.10744565703314,5.7554
session_range_pct,NO_LAUNCH,600058:20260610:1034,600058,,2026-06-12,2026-06-10,NO_LAUNCH,1130,10.19950000000000000000000000,11.2,10.05,10.5,9.67,10.75,10.211426046767368,11.0092
session_range_pct,NO_LAUNCH,603318:20260629:969,603318,水发燃气,2026-06-30,2026-06-29,NO_LAUNCH,1130,8.942056193090747877093066879,11.69,8.9,9.31,8.97,9.59,9.197856606223372,6.6452
session_range_pct,NO_LAUNCH,002910:20260626:1227,002910,,2026-06-30,2026-06-26,NO_LAUNCH,1130,10.60126756605223919711552221,13.41,10.51,10.99,10.8,12.14,11.409842376084894,12.1377
session_range_pct,STRUCTURE_FAIL,603070:20260605:1673,603070,,2026-06-09,2026-06-05,STRUCTURE_FAIL,1130,16.18451766074450084602368866,17.22,16.04,16.3,16.17,16.82,16.481359137216796,3.8945
session_range_pct,STRUCTURE_FAIL,002637:20260612:1268,002637,,2026-06-15,2026-06-12,STRUCTURE_FAIL,1130,12.34800000000000000000000001,13.3,12.29,12.31,12.29,12.78,12.435451171090987,3.8462
session_range_pct,STRUCTURE_FAIL,000833:20260622:2413,000833,,2026-06-23,2026-06-22,STRUCTURE_FAIL,1130,24.83705491535068999857732251,26.44,24.71,25.0,24.13,25.42,24.90025353781988,5.2891
session_range_pct,STRUCTURE_FAIL,003030:20260702:2244,003030,祖名股份,2026-07-03,2026-07-02,STRUCTURE_FAIL,1130,22.84595047352895513119080888,25.23,22.73,23.35,22.4,23.44,22.843307438997666,4.5977
session_range_pct,STRUCTURE_FAIL,002805:20260630:2859,002805,,2026-07-01,2026-06-30,STRUCTURE_FAIL,1130,28.59,30.58,28.45,28.86,27.4,28.95,28.150955668444727,5.4045
session_range_pct,STRUCTURE_FAIL,001215:20260609:4232,001215,,2026-06-10,2026-06-09,STRUCTURE_FAIL,1130,42.63799999999999999999999999,46.5,42.11,43.25,41.8,44.06,42.610366649803176,5.1294
session_range_pct,STRUCTURE_FAIL,002963:20260608:1774,002963,豪尔赛,2026-06-09,2026-06-08,STRUCTURE_FAIL,1130,17.76549999999999999999999999,21.28,17.65,17.55,17.42,18.45,18.01595620755142,5.7995
session_range_pct,STRUCTURE_FAIL,002129:20260707:1102,002129,,2026-07-08,2026-07-07,STRUCTURE_FAIL,1130,10.60525000000000000000000000,12.44,10.53,10.86,10.42,11.42,10.853838722555109,8.8652
session_range_pct,STRUCTURE_FAIL,603065:20260707:2025,603065,宿迁联盛,2026-07-27,2026-07-07,STRUCTURE_FAIL,1130,13.68122204472843450479233227,22.11,13.53,14.82,13.42,15.16,14.327141271000638,12.2535
session_range_pct,STRUCTURE_FAIL,002038:20260623:554,002038,,2026-06-24,2026-06-23,STRUCTURE_FAIL,1130,5.730333333333333333333333331,6.27,5.7,5.82,5.4,6.09,5.79527135544088,12.4774
session_low_pct_vs_prev_close,SUCCESS,002830:20260612:1676,002830,,2026-06-18,2026-06-12,SUCCESS,1130,13.63548472472707813898652815,15.98,13.57,14.25,13.58,14.84,14.157965966184644,-7.6818
session_low_pct_vs_prev_close,SUCCESS,002837:20260609:6972,002837,,2026-06-11,2026-06-09,SUCCESS,1130,52.88796866727297543353608210,72.69,52.62,67.1,66.68,69.5,67.48808749276213,-3.2221
session_low_pct_vs_prev_close,SUCCESS,600708:20260623:329,600708,,2026-06-24,2026-06-23,SUCCESS,1130,3.267166666666666666666666666,3.47,3.23,3.26,3.19,3.41,3.3150749311014556,-3.0395
