baseline_id,baseline_role,factor_name,factor_family,factor_role,sample_scope,baseline_group,target,eligible_group_n,factor_nonmissing_n,outcome_known_n,success_n,non_success_n,native_auc,native_direction,r3_direction,direction_match,effect,identifiability_status,missing_reason
B5,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,6485,6050,5883,281,5602,0.40125031604116984,NEGATIVE,NEGATIVE,True,0.09874968395883016,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,6485,6050,5880,328,5552,0.40578104132986575,NEGATIVE,NEGATIVE,True,0.09421895867013425,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,2136,1979,1954,89,1865,0.4664517878121517,NEGATIVE,NEGATIVE,True,0.033548212187848314,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,2136,1979,1954,111,1843,0.44165652358815677,NEGATIVE,NEGATIVE,True,0.05834347641184323,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,6485,6050,5883,281,5602,0.40125031604116984,NEGATIVE,NEGATIVE,True,0.09874968395883016,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,6485,6050,5880,328,5552,0.40578104132986575,NEGATIVE,NEGATIVE,True,0.09421895867013425,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,2136,1980,1955,89,1866,0.5550357069739995,POSITIVE,POSITIVE,True,0.05503570697399951,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,2136,1980,1955,111,1844,0.5855367297883567,POSITIVE,POSITIVE,True,0.08553672978835669,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,6485,6050,5883,281,5602,0.5997845202717382,POSITIVE,POSITIVE,True,0.09978452027173823,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,6485,6050,5880,328,5552,0.5895079558234343,POSITIVE,POSITIVE,True,0.0895079558234343,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,2136,1980,1955,89,1866,0.5550357069739995,POSITIVE,POSITIVE,True,0.05503570697399951,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,2136,1980,1955,111,1844,0.5855367297883567,POSITIVE,POSITIVE,True,0.08553672978835669,IDENTIFIABLE,
