episode_id,symbol,candidate_date,outcome,CHECKPOINT,A_D0cum_vs_D1full,B_D0cum_vs_anchorfull,C_D0cum,D_D1full,E_anchorfull,D0cum_vs_median5,D1full_vs_median5,F_D0cum_vs_D1_sametime,D1_sametime_available
002370:20260623:541,002370,2026-06-24,STRUCTURE_FAIL,0945,1.498,1.498,31105200.0,20764185.0,20764185.0,1.9447686746766488,1.2982246229952146,1.49844748735264,True
605369:20260623:1694,605369,2026-06-24,FAILED_BREAKOUT,0945,0.7204,0.7204,2189555.0,3039195.0,3039195.0,1.0083479627231482,1.39962964463938,0.7204391294405262,True
002038:20260623:554,002038,2026-06-24,STRUCTURE_FAIL,0945,1.6125,1.6125,44091863.0,27344111.0,27344111.0,1.9739312849337833,1.2241577581242598,1.612917625679256,True
603318:20260623:1169,603318,2026-06-25,STRUCTURE_FAIL,0945,0.745,0.229,27130725.0,36414700.0,118485766.0,0.3659395064343071,0.4911618596610803,0.7450487028590103,True
002427:20260624:474,002427,2026-06-25,FAILED_BREAKOUT,0945,0.6211,0.6211,13352386.0,21499300.0,21499300.0,0.8728136411755842,1.4053579873833963,0.6279427380935585,True
603203:20260624:7014,603203,2026-06-25,FAILED_BREAKOUT,0945,0.2235,0.2235,5048143.0,22584994.0,22584994.0,0.22351757100311825,1.0,0.22351757100311825,True
605300:20260625:943,605300,2026-06-26,FAILED_BREAKOUT,0945,1.0067,1.0067,4580541.0,4550048.0,4550048.0,1.2508519398340276,1.242524926015931,1.0896067127070246,True
603297:20260624:13289,603297,2026-06-26,FAILED_BREAKOUT,0945,0.1542,0.1552,501500.0,3253239.0,3231006.0,0.15521481544757268,1.0068811385679879,0.16110022297041826,True
600539:20260626:1432,600539,2026-06-29,FAILED_BREAKOUT,0945,0.2553,0.2553,4618301.0,18092838.0,18092838.0,0.2788155470408387,1.0922987749155533,0.2552797397267104,True
002518:20260625:5443,002518,2026-06-29,FAILED_BREAKOUT,0945,0.1315,0.3247,4070600.0,30959502.0,12536977.0,0.30376231408587473,2.310305598797786,0.13255903779840886,True
002497:20260624:2360,002497,2026-06-29,FAILED_BREAKOUT,0945,0.1737,0.1631,11068999.0,63738988.0,67846572.0,0.17366135464842963,1.0,0.17432980272271395,True
600118:20260626:7777,600118,2026-06-29,FAILED_BREAKOUT,0945,0.2328,0.2328,20989642.0,90157878.0,90157878.0,0.500306028521124,2.148989958098,0.23297910950913073,True
603063:20260625:5517,603063,2026-06-29,FAILED_BREAKOUT,0945,0.1049,0.1431,4761300.0,45409443.0,33272214.0,0.16887003168215023,1.6105462957761105,0.10507153252191562,True
603318:20260629:969,603318,2026-06-30,NO_LAUNCH,0945,0.2469,0.2469,20677152.0,83731558.0,83731558.0,0.24694574535445762,1.0,0.25620995734334445,True
002728:20260629:880,002728,2026-06-30,SUCCESS,0945,1.1572,1.1572,21906768.0,18930303.0,18930303.0,1.1129451929525087,0.9617297140766933,1.157232824007096,True
002370:20260629:537,002370,2026-06-30,SUCCESS,0945,0.6996,0.6996,23173300.0,33124127.0,33124127.0,0.6995897582447984,1.0,0.6995897582447984,True
002038:20260629:558,002038,2026-06-30,SUCCESS,0945,0.9897,0.9897,35308639.0,35677233.0,35677233.0,0.9328309660459161,0.9425689765395725,0.9896686494717793,True
